artist_name,artist_ID,artist_followers,artist_popularity
Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,425732,60
Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw,341583,68
Bad Omens,3Ri4H12KFyu98LMjSoij5V,64612,52
Light The Torch,6RIRplpyp79REfeBrvW8rH,68639,54
Blood Youth,7f6aaGesYhnRPTcI36JGsb,13668,47
The Disaster Area,5cNBtvhQCLKWInveVFe49O,2943,32
Capsize,3Nt2h0gWNi9cxuLeNjOsET,21961,37
Vigils,3EzYyT79hzNl6mxm7v44h0,1841,34
Stories Through Storms,0lr5JmP9qsCGEUADM9uSWC,1745,31
Leya Siri,1lH4p1vzq9mPOOhdNLxlSY,9,24
IMMERSE,3S3vmLBBxnscJGPLeqVKQN,682,28
Architects,3ZztVuWxHzNpl0THurTFCv,328456,66
Architects,3ZztVuWxHzNpl0THurTFCv,328456,66
Palisades,2w6slVluzWlwADP8aB5yz5,88017,61
Captives,2XIbOWDT5vZPW7jNyzdfcK,3486,41
Imminence,7rqJQQxuUOCk052MK5kLsH,23499,46
Breathe Atlantis,6YLWRVTViX4bm2mGxRy9XN,3138,36
Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,425732,60
